title,imdbRating,ratingCount,duration,year,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre
Highlander - There can only be one,7.2,80947,6960,1986,0,0,32,523,296,3
free throw,7.6,28553,6840,1986,3,3,28,208,125,2
Howard - an animal hero,4.5,27019,6600,1986,4,4,13,244,248,3
Ijaazat,7.8,654,8220,1987,2,0,0,0,21,3
Roberta,7.2,1747,6360,1935,0,1,9,6,48,3
Prosecutors do not kiss you,5.8,6746,6960,1986,1,0,19,11,31,3
The little lamp,7.5,5793,120,1986,3,0,4,46,21,3
Manhattan Project - The Atomic Nightmare,6.1,3595,7020,1986,1,1,7,8,30,2
Mission,7.5,36472,7500,1986,14,25,28,129,177,3
Mona Lisa,7.3,8194,6240,1986,15,11,18,2,44,3
Gifts are still too expensive,6.2,29749,5460,1986,0,0,12,47,87,1
The morning after,6,3947,6180,1986,0,0,8,0,30,3
Mosquito Coast,6.6,18328,7020,1986,1,1,21,57,93,3
My wonderful laundromat,7,8824,5820,1985,7,4,11,97,56,3
Sylvia Scarlett,6.3,2193,5700,1935,0,0,7,7,35,3
Letters of a dead man,7.7,1123,5220,1986,1,0,0,0,7,2
Salvador,7.5,12722,7320,1986,4,6,9,53,84,3
Number 5 is alive!,6.5,34467,5880,1986,1,3,13,264,81,3
Escape from Paris,7.9,3386,7680,1935,0,0,11,128,58,3
Top Gun - you fear neither death nor devil,6.8,168004,6600,1986,9,5,129,2286,351,3
Transformers - The Battle for Cybertron,7.4,28077,5040,1986,0,0,17,109,314,3
Two prunes in the underworld,5.5,3663,6000,1986,0,0,4,8,27,2
Crocodile Dundee 2,5.4,37172,6480,1988,2,0,16,15,55,3
Aquarius - Theater of Death,6.9,2965,5400,1987,2,0,2,7,75,1
Beverly Hills Cop II,6.4,66500,6000,1987,6,1,29,106,87,3
The brave little toaster,7.3,16151,5400,1987,0,1,11,48,55,3
Broadcast News - News Fever,7.2,17820,7980,1987,17,11,16,351,95,3
The camp of the lost,7.8,247,9420,1988,6,1,0,0,1,2
Castaway - The island,5.9,2179,7020,1986,0,0,6,3,23,2
Dirty Dancing,6.8,105208,6000,1987,11,7,78,1440,373,3
Conspiracy of women,7.3,5012,7080,1988,3,1,7,17,28,2
After the thin man,7.7,5843,6720,1936,0,0,7,9,56,3
Chaos im Camp,5.3,7736,5520,1987,0,0,12,17,44,2
A fateful affair,6.9,42695,7140,1987,7,14,37,331,183,2
Django&#39;s return,5.5,696,5280,1987,0,0,6,12,19,1
Circle of fear,6.5,334,6540,1987,4,6,0,0,6,3
Hellraiser - the gateway to hell,7.1,59890,5640,1987,2,5,35,893,295,1
Depths,7.7,1692,5700,1936,2,0,4,8,13,3
Red cornfield,7.5,4472,5460,1987,7,3,2,3,19,3
Wings of Honneamise,7.4,2915,7260,1987,0,0,17,0,32,3
The journey into the self,6.7,34274,7200,1987,0,3,21,125,66,3
Farewell to the President,6.6,164,5220,1987,1,0,0,0,2,2
The White Shark IV - The Settlement,2.8,25256,5340,1987,1,7,30,53,356,2
Where is my friend&#39;s house?,8,3877,4980,1987,5,1,2,0,26,2
Bored of Education,7.1,125,600,1936,0,0,4,2,2,3
Under zero,6.3,11914,5880,1987,0,0,12,198,142,3
Lung fu fong wan,7.2,3727,6060,1987,2,8,8,31,32,3
mannequin,5.6,18180,5400,1987,5,3,20,51,90,3
The lord of Dragonard Hill,6.8,249,5580,1987,0,0,0,0,2,2
Matewan,7.9,5389,8100,1987,2,6,18,24,52,2
moonstruck,7.1,28592,6120,1987,16,15,45,182,131,3
Nayakan,8.7,4529,8700,1987,2,0,0,0,34,2
Cain and Mabel,8.1,1154,5400,1936,0,0,0,0,17,3
Terror in the opera,7.2,7815,6420,1987,0,0,7,14,98,3
Over the Top,5.5,27379,5580,1987,4,2,14,145,106,3
Pippi Longstocking&#39;s latest pranks,5.9,2651,6000,1988,0,0,19,19,34,3
The princes of darkness,6.7,19084,6120,1987,1,1,18,434,189,1
RoboCop,7.5,135552,6120,1987,11,10,46,1605,402,3
Roxanne,6.6,25992,6420,1987,3,1,28,68,67,3
Fantômas - In the shadow of the guillotine,6.8,1123,3240,1913,0,0,12,0,7,2
The crime of Mr. Lange,7.6,1545,4800,1936,0,0,6,4,14,3
The secret of my success,6.4,18969,6660,1987,1,0,21,10,66,1
Mel Brooks Spaceballs,7.1,106024,5760,1987,0,0,43,193,245,3
The incorruptible,8,178711,7140,1987,13,11,43,376,392,3
Wanted Dead or Alive,5.8,2537,6360,1986,0,0,10,15,33,3
Whitewater Summer - At the moment of danger,6.1,3466,5400,1987,0,0,4,0,35,2
Akira,8.1,74761,7440,1988,1,0,36,121,392,2
Rendezvous with a dead body,6.1,1661,5760,1988,0,0,3,6,28,3
Beast war,7.4,6124,6660,1988,1,0,6,7,78,3
Chucky the killer doll,6.5,48620,5220,1988,1,3,37,557,254,2
Green snake,7.1,4301,6660,1987,2,0,7,14,34,2
Dangerous romances,7.7,45104,7140,1988,17,18,33,512,131,2
Marine against lovesickness,7.3,2474,6600,1936,0,0,19,7,50,3
The death game,6.3,24662,5460,1988,0,0,30,58,103,2
Two ravish spoiled villains,7.3,41523,6600,1988,1,0,32,106,117,2
A life full of passion,6.2,2161,7620,1988,0,0,7,2,24,3
A fish called Wanda,7.6,92669,6480,1988,8,15,53,198,172,2
In the intoxication of the deep,7.7,30787,10080,1988,3,6,59,17,137,3
Blind rage,7.9,6891,5520,1936,5,0,7,24,56,3
The virgins machine,5.8,155,5040,1988,0,0,6,0,3,1
A short movie about killing,8.1,8018,5040,1988,7,1,6,0,33,2
damnation,7.9,2429,7200,1988,2,1,5,0,25,3
The last temptation of Christ,7.6,32926,9840,1988,3,5,26,201,291,1
Grain,7.1,1861,4980,1988,0,0,4,26,19,3
Memories of Me - The tragic-comic life of a great loser,5.6,622,6300,1988,0,0,4,3,14,2
Women on the verge of nervous breakdown,7.6,20011,5400,1988,25,19,18,152,55,2
The little Lord,7.4,1055,6120,1936,0,0,13,7,24,2
Something from Alice,7.5,6440,5160,1988,1,1,12,0,73,3
Presidio,5.9,11087,5820,1988,0,0,22,5,47,3
Red Heat,6,38698,6240,1988,0,0,37,104,82,3
The untamed,6.5,1547,6600,1988,0,0,17,0,13,3
Disappeared without a trace,7.8,19748,6420,1988,8,2,11,15,166,2
Tetsuo,7,11824,4020,1989,2,0,8,105,122,2
You live!,7.3,51986,5580,1988,0,0,26,1123,294,3
The cuckoo&#39;s egg,7.7,4960,7200,1988,1,3,11,41,55,3
Willow,7.2,68700,7560,1988,1,9,26,310,219,3
Wong Gok to the moon,7.1,4485,6120,1988,2,8,4,0,21,3
The weapons of women,6.7,33361,6780,1988,9,14,16,287,112,3
Young Guns - They fear neither death nor the devil,6.8,34968,6420,1988,1,2,20,198,111,3
Abyss - abyss of death,7.6,107051,8340,1989,4,12,64,427,363,3
The adventures of Baron Munchhausen,7.2,33937,7560,1988,6,9,37,88,132,3
Charlie - All dogs are going to heaven,6.6,19409,5340,1989,0,0,36,65,76,3
Batman,7.6,210971,7560,1989,8,21,68,3404,752,2
Black Rain,6.6,32632,7500,1989,0,1,33,93,105,3
A heavenly lover,6.4,7067,6480,1989,1,1,27,0,49,3
Dead Calm,6.8,25113,5760,1989,5,5,27,144,127,1
The time of the gypsies,8.3,13586,8520,1988,2,4,4,2,248,3
Miss Daisy and her chauffeur,7.4,52757,5940,1989,24,14,34,711,122,2
Drugstore Cowboy,7.4,21057,6120,1989,13,5,12,79,78,2
Field of dreams,7.6,71283,6420,1989,6,9,47,498,296,3
Ghostbusters II,6.5,101590,6480,1989,2,1,14,375,177,3
Great Balls of Fire,6.2,10864,6480,1989,1,0,17,0,56,3
Sabotage,7.2,8924,5400,1936,0,0,27,23,71,2
Henry V.,7.8,20065,8220,1989,10,11,19,428,106,3
In another Ninas,5.6,4764,5640,1989,0,0,11,5,23,3
Karate Tiger 3 - The Kickboxer,6.2,26757,5820,1989,0,0,21,86,95,3
The soap thieves,7.1,742,5640,1989,6,1,6,0,14,2
Lethal Weapon 2 - Brennpunkt L.A.,7.2,98114,6840,1989,1,0,52,113,154,2
Leviathan,5.7,10028,5880,1989,1,0,9,114,90,3
James Bond 007 - license to kill,6.6,57433,7980,1989,0,0,19,155,289,3
secret agent,6.7,5099,5160,1936,1,0,30,150,60,3
Meet the Feebles,6.7,13903,5640,1989,4,1,8,69,166,2
New York stories,6.4,11330,7440,1989,1,0,16,83,51,3
An amazing family,7,30685,7440,1989,4,10,28,309,112,2
Pet Sematary,6.5,49420,6180,1989,1,5,19,483,223,1
The Return of Swamp Thing,4.3,2240,5280,1989,1,0,7,10,32,3
Strike Me Pink,7.1,254,6000,1936,0,0,5,2,12,2
The Return of the Musketeers,6,1948,6120,1989,0,0,3,2,21,3
Road House,6.3,32400,6840,1989,0,0,30,217,191,2
Teen Lover,7.5,52805,6000,1989,1,2,28,57,213,3
Melody of death,6.8,25441,6780,1989,0,3,27,59,101,3
Star Trek V: At the edge of the universe,5.3,34649,6420,1989,3,3,50,94,261,3
Winter War,7.9,5713,11700,1989,7,1,4,0,35,3
Tango & Cash,6.2,58944,6240,1989,0,0,25,4,127,3
Who is Harry Crumb?,5.7,10551,5640,1989,0,0,6,0,48,3
Air America,5.6,18064,6780,1990,0,0,43,2,34,2
Alice,6.6,8452,6120,1990,1,5,22,0,50,3
A land lot,7.8,2830,2400,1936,1,0,4,3,20,3
Todfreunde - Bad Influence,6.2,4630,5940,1990,1,1,19,36,49,3
A bird on the tightrope,5.8,24604,6600,1990,0,0,37,32,48,2
Purgatory of vanities,5.4,15304,7500,1990,0,0,23,46,106,2
Cry-Baby,6.5,35823,5100,1990,0,0,9,0,138,2
Days of Donners,5.8,47749,6420,1990,1,0,61,322,88,3
Bullet in the Head,7.7,6824,8160,1990,1,3,7,47,57,3
The exorcist III,6.3,14608,6600,1990,1,3,10,56,217,3
The glory of my father,7.6,4067,6300,1990,2,4,8,0,32,3
The godfather - Part III,7.6,191424,9720,1990,4,13,243,68,516,3
Hamlet,6.8,14937,7800,1990,3,2,22,4,89,2
Henry & June,6.4,8735,8160,1990,1,0,34,0,54,2
Henry: Portrait of a Serial Killer,7.1,18694,4980,1986,9,7,10,204,199,3
Hitlerjunge Salomon,7.7,10462,6720,1990,11,2,13,40,66,3
Kevin home alone,7.4,214100,6180,1990,10,4,30,1258,255,2
Jacob&#39;s Ladder - In the power of the hereafter,7.6,60964,6780,1990,2,0,22,99,328,3
Kindergarten Cop,5.9,84661,6660,1990,4,1,48,200,97,3
Leon,6,18912,6300,1990,0,0,23,16,63,3
Lord of the flies,6.4,18149,5400,1990,0,0,25,412,130,3
A Man Called Sarge,4.9,191,5280,1990,0,0,2,0,10,2
The big illusion,8.2,21084,6420,1937,4,1,27,134,112,2
Mindwarp,5.2,1117,5460,1992,0,0,0,0,30,3
Nema-ye Nazdik,8.2,5267,5880,1990,2,0,11,0,26,2
The Neverending Story 2: In Search of Phantásien,4.9,13994,5160,1990,2,4,22,5,68,3
Predator 2,6.2,72570,6480,1990,1,4,31,252,263,3
For lack of evidence,6.9,24277,7620,1990,1,2,29,72,76,3
Pretty Woman,6.9,158096,7140,1990,7,10,40,1163,251,2
Hearts Are Thumps,7.4,120,600,1937,0,0,4,0,2,3
Such a Satansbraten,5.1,18286,4860,1990,0,0,21,47,94,2
Bernard and Bianca in kangaroo country,6.9,18953,4620,1990,5,0,25,57,58,3
RoboCop 2,5.7,46086,7020,1990,0,0,32,26,204,3
Sky over the desert,6.8,7220,8280,1990,8,3,18,27,64,3
Total Recall - the total memory,7.5,187348,6780,1990,7,13,53,3132,364,3
Wild at Heart - The story of Sailor and Lula,7.3,48623,7500,1990,2,5,13,213,182,3
Heidi,7.3,2372,5280,1937,0,0,19,31,26,2
The biography of the hooligan Afei,7.6,8840,5640,1990,7,7,6,27,33,3
Die Addams Family,6.8,75222,5940,1991,3,12,17,552,111,2
Agantuk - The visitor,7.9,969,7200,1991,2,0,13,6,14,1
The lover,6.9,12189,6900,1992,3,6,7,19,84,3
Begotten,6.2,5669,4320,1990,0,0,4,4,116,2
Bill &amp; Ted&#39;s crazy journey into the future,6.1,40919,5580,1991,1,1,33,2,106,3
Chicago,6.9,1223,5700,1937,0,4,10,6,34,3
The man of your dreams,5.2,4693,5880,1991,0,0,27,0,23,2
The law of power,6.3,4376,6600,1991,0,0,8,20,22,2
The Commitments,7.5,21759,7080,1991,10,6,24,78,102,3
The two lives of Veronica,7.9,20834,5880,1991,8,6,11,34,95,3
The life of Emile Zola,7.4,3612,6960,1937,4,7,16,25,39,2
King of the fishermen,7.6,48343,8220,1991,16,20,21,274,146,3
Hudson Hawk - The Master Thief,5.7,37276,6000,1991,3,4,30,71,235,3
Last Boy Scout - The goal is survival,6.9,62616,6300,1991,0,0,30,261,135,3
Lik Wong,7.2,8066,5460,1991,0,0,8,37,128,3
Mail and Female,7.5,49,1200,1937,0,0,0,0,2,3
Madar,8.4,2035,6480,1991,0,0,0,0,2,1
Special unit IQ,7.3,6332,6480,1992,0,0,4,17,75,2
My Girl - My first love,6.7,43917,6120,1991,2,3,22,340,109,3
The end of innocence,7.1,29976,6240,1991,12,4,15,169,146,2
The elementary school,8.2,1696,6000,1991,2,0,0,0,6,3
Oscar - From the rain to the eaves,6.3,19551,6540,1991,0,0,14,0,107,2
Dangerous surf,7.1,80077,7320,1991,1,2,34,704,243,3
No place for parents,8.1,3434,5460,1937,2,0,0,0,45,2
A Satan&#39;s roast rarely comes alone,4.3,14254,5400,1991,0,0,9,12,76,2
Prospero&#39;s books,6.9,4515,7440,1991,3,2,7,20,77,2
Pure luck thing,5.6,4422,5760,1991,0,0,17,7,40,3
Robin Hood - King of Thieves,6.9,118314,8580,1991,14,17,48,266,301,3
beneficiary,7.3,2597,10860,1991,2,2,0,0,8,3
Turtles II - The Secret of Ooze,5.9,34138,5280,1991,3,1,24,29,77,3
My favorite wife,7.5,5638,5280,1940,0,0,10,0,62,2
Do not scream ... The trail to death,6.2,544,5460,1991,0,0,6,10,21,3
Vacas - cows,7.2,2393,5760,1992,8,3,10,0,17,3
Wedlock,5.8,5308,6060,1991,0,0,6,5,19,3
Wizards of the Demon Sword,2,356,5400,1991,0,0,2,0,8,2
The black tigers of Hong Kong,7.4,11669,8040,1991,4,4,14,110,60,3
1492 - The conquest of paradise,6.4,18765,9240,1992,0,1,30,0,78,3
Batman&#39;s return,7,164843,7560,1992,2,13,57,849,560,2
A dog named Beethoven,5.4,36334,5220,1992,1,4,31,70,50,3
Bob Roberts,7.1,10452,6120,1992,5,1,12,26,93,1
Braindead,7.6,64939,5640,1992,13,3,4,282,548,2
Bram Stokers Dracula,7.5,112374,7680,1992,9,13,51,1697,611,2
Man bites dog,7.7,23196,5700,1992,6,4,20,102,204,3
Captain Ron - cruise to happiness,5.5,14560,5400,1992,0,0,11,10,70,2
Love and ice cream,6.8,13429,6060,1992,0,0,17,79,126,3
Trauma,6,3924,6360,1993,0,0,6,24,62,3
In a distant land,6.5,39264,8400,1992,0,0,35,97,92,3
Fonda on FondaTV Movie,7,70,2760,1992,0,0,0,0,2,1
Rushin' Ballet,7.6,80,660,1937,0,0,0,0,2,3
Fists - You must fight for your right,6.4,5646,6060,1992,0,0,22,33,30,3
Wallace &amp; Gromit - All cheese,7.9,16845,1380,1989,2,0,12,35,40,3
Husbands and wives,7.6,16956,6480,1992,12,5,11,157,69,3
Bloody Marie - A woman with a bite,6.2,6492,6720,1992,0,0,17,34,70,3
Police Story 3 - Supercop,6.9,11639,5700,1992,2,3,21,34,54,3
Jutai,7.1,39,6480,1991,0,0,2,0,2,1
Katharine Hepburn: All About MeTV Movie ,7.6,404,4200,1993,0,3,0,0,8,2
A class of its own,7.1,57804,7680,1992,6,5,67,344,147,3
Bitter Moon,7.1,20146,8340,1992,0,0,15,32,94,3
The Muppets Christmas story,7.7,26423,5100,1992,1,0,30,134,137,3
My cousin Winnie,7.5,68772,7200,1992,3,2,18,204,188,2
The night of Soho,5.9,3208,6300,1992,0,0,12,6,30,2
The house of the forgotten,6.3,19025,6120,1991,2,1,24,113,137,3
hidden port,6.5,761,6600,1992,2,0,4,0,2,2
Romper Stomper,6.9,27772,5640,1992,8,7,15,39,137,2
The outsider,6.9,14879,6360,1992,0,0,10,55,73,1
Sneakers - The Silent,7.1,38270,7560,1992,0,0,29,67,106,3
Special Agent K-7,6.3,58,4260,1936,0,0,0,0,2,3
A heart in winter,7.7,6101,6300,1992,15,10,11,4,57,2
Universal Soldier,5.9,57663,6120,1992,0,0,41,355,112,3
Visions of Light,7.8,2122,5520,1992,3,1,8,6,19,2
The secret of his love,6.7,1578,5700,1992,1,0,3,10,18,2
Wayne's World,7,88937,5640,1992,3,3,37,330,160,2
Cover Hard,7.2,2709,5760,1992,0,0,8,8,35,3
stage Door,7.8,4808,5520,1937,2,0,16,43,67,2
Benny und Joon,7.2,38233,5880,1993,0,3,54,0,155,3
The Beverly Hillbillies are going,4.7,12151,5520,1993,0,0,7,6,59,2
Cliffhanger - Only the strong survive,6.3,76537,6720,1993,1,7,57,281,154,3
Stephen Kings Stark,5.9,9795,7320,1993,3,4,25,55,63,2
Dave,6.8,35314,6600,1993,2,4,42,25,110,2
Confusion - summer of the freaks,7.7,89248,6120,1993,0,0,24,792,371,2
Dennis,5.4,33995,5640,1993,3,2,26,111,51,2
Dragon - Die Bruce Lee Story,7,17858,7200,1993,1,2,19,42,84,3
Children play in Russia,6.6,74,3600,1993,0,0,0,0,2,1
The Chaos Cannon,5,1356,5760,1993,0,0,0,0,17,2
Alone among idiots,5.6,4752,5460,1993,0,0,15,2,45,3
The Toast of New York,6.5,561,6540,1937,0,0,2,0,15,3
The Company,6.8,69767,9240,1993,2,4,32,283,126,3
Free Willy - Call of Liberty,5.8,38323,6720,1993,7,2,43,193,50,3
On the run,7.8,177341,7800,1993,12,23,56,418,252,3
Back Home - The Incredible Journey,6.9,25856,5040,1993,0,0,37,19,68,3
The wedding banquet,7.7,9117,6360,1993,12,7,14,48,37,3
The blond ghost,7.5,4140,5820,1937,0,0,5,13,37,3
In the Line of Fire - The second chance,7.2,62255,7680,1993,2,11,36,207,128,3
King Uncle,5.1,1410,10260,1993,0,0,2,4,4,3
Last Action Hero,6.1,86277,7800,1993,1,14,33,228,245,3
Leprechaun - The killer cop,4.6,13434,5520,1993,0,0,18,226,149,3
Malice - An intrigue,6.3,15413,6420,1993,2,0,17,48,85,3
Manhattan Murder Mystery,7.4,22634,6240,1993,0,3,17,55,80,3
Matinee - The horror premiere,6.7,5431,5940,1993,1,0,17,78,51,2
rushed,7.5,3020,5160,1937,0,0,8,0,35,3
The street fighters,7.5,31608,5820,1993,2,2,33,141,89,2
A lot of noise about nothing,7.5,31993,6660,1993,5,6,51,562,156,3
Loaded Weapon 1,6,32494,5040,1993,0,0,19,11,69,3
Ninpûchô&#39;s pocket,7.9,21854,5640,1993,0,0,22,93,103,3
The file,6.5,47900,8460,1993,1,2,42,90,76,3
Stage Fright - A cucumber conquers Hollywood,4.3,455,6180,1993,0,0,4,0,6,2
Dino Kids,3.7,1028,5040,1993,0,0,4,0,11,3
The Program,6.4,6396,6720,1993,0,0,20,13,31,3
What was left of the day,8,37996,8040,1993,18,18,30,158,146,2
Dschafars return video,5.8,14314,4140,1994,0,0,18,8,50,3
The cradle of the sun,6.2,29033,7500,1993,1,1,26,2,66,3
Robin Hood - hero in tights,6.7,71228,6240,1993,0,0,24,112,168,3
Roop Ki Rani Choron Ka Raja,5,546,11400,1993,0,0,0,0,1,3
Hercules and the sandlot kids,7.8,43689,6060,1993,1,0,44,68,138,3
The adventures of Robin Hood,8,33948,6120,1938,2,2,34,98,204,3
The royal game,7.6,20076,6540,1993,5,7,9,49,76,2
Short Cuts,7.7,30235,11220,1993,23,7,31,222,128,2
Sleepless in Seattle,6.8,98224,6300,1993,4,10,73,504,207,3
Sommersby,6.1,13427,6840,1993,2,0,25,18,48,3
Tao xue wei long zhi long guo ji nian,6.3,741,5340,1993,0,0,2,0,1,1
As a baby kidnappedTV Movie,6.2,182,5400,1993,0,0,0,0,4,1
Tom&#39;s adventure,7.2,991,5460,1938,1,1,6,35,17,2
The three musketeers,6.3,34548,6300,1993,2,3,36,710,140,3
Tiny Toons Spring BreakTV Movie ,7.1,207,2700,1994,0,0,0,0,2,0
Wayne's World 2,6.1,49951,5700,1993,0,0,34,39,75,2
4 Dinos in New York,6,8099,4320,1993,0,0,12,0,30,3
Again trouble with Bernie,4.5,8884,5820,1993,0,0,13,4,49,1
Alexander Newski,7.7,6916,6720,1938,1,0,19,8,82,3
What's Love Got to Do with It?,7.2,11255,7080,1993,4,9,14,178,59,3
Once Upon a Chinese Fighter,6.8,4073,6540,1993,1,1,16,3,12,3
100 years of Japanese CinemaTV Movie,6,186,3600,1995,0,0,0,0,2,1
1942: A Love Story,7.3,2149,9420,1994,6,2,2,0,6,3
8 Seconds - Deadly ambition,6.4,3290,6300,1994,0,0,14,6,38,3
Ace Ventura - An animal detective,6.9,159072,5160,1994,5,3,31,148,225,1
Priscilla - queen of the desert,7.5,29833,6240,1994,9,16,41,5,125,2
Andaz apna apna,8.7,16180,9600,1994,0,0,0,0,52,1
Bluebeard&#39;s eighth wife,7.4,1697,5100,1938,0,0,5,0,18,2
Beverly Hills Cop III,5.4,46643,6240,1994,0,0,22,34,104,3
Mac Millionaire - Too clever for a blank check,5,11329,5580,1994,0,0,12,17,39,2
Blood Run - The Mysterious WomanTV Movie,3.8,136,5640,1994,0,0,3,0,1,2
The Troublemaker,6.1,2031,6420,1994,0,0,6,64,9,3
Bullets Over Broadway,7.5,24751,5880,1994,20,13,25,219,77,3
The Jodorowsky constellation,6.8,324,5460,1994,0,0,3,0,4,2
Darkman 2 - Durant&#39;s ReturnVideo,5,2956,5580,1995,0,0,23,0,37,3
Dumb and Dumber,7.3,217692,6420,1994,4,3,55,875,409,1
The Fantastic Four,3.9,2413,5400,1994,0,0,0,0,118,3
Four weddings and one death,7.1,87868,7020,1994,24,16,46,652,186,3
Pfundskerle,6.6,15498,6000,1995,0,0,20,27,60,3
Pom Room,7.4,9081,7140,1994,3,1,20,24,43,3
Carefree by Dr. Flagg,7.2,2013,4980,1938,0,1,24,3,35,3
Hum Aapke Hain Koun ...!,7.6,6825,12360,1994,6,0,4,0,31,3
Life!,8.2,9476,7500,1994,7,2,23,4,83,2
Jing wu ying xiong,7.7,14931,5880,1994,0,0,14,0,114,2
The mask,6.8,188286,6060,1994,6,16,31,327,197,3
Muriel&#39;s wedding,7.2,23342,6360,1994,8,9,18,146,150,3
The sister of the bride,7.9,8609,5700,1938,0,0,21,30,77,2
Natural Born Killers,7.3,138202,7080,1994,3,4,51,596,565,2
Nobody&#39;s Fool - irresistible in the long run,7.4,12952,6600,1994,5,6,16,18,81,2
Alien Desperados,5.2,666,5640,1994,1,0,2,18,21,3
Typical british TV Movie,6.8,86,3120,1997,0,0,0,0,0,1
Before the rain,8,9335,6780,1994,12,2,17,16,66,2
Richie Rich,5.1,36186,5700,1994,0,0,11,14,34,2
The Roman cannon,3,997,5700,1994,0,0,4,0,2,2
Jezebel - Die boshafte Lady,7.7,6985,6240,1938,3,4,22,42,78,2
Santa Clause - A nice gift,6.3,47568,5820,1994,2,7,45,185,97,3
The secret of the seal dog,7.5,5286,6180,1994,1,7,17,13,63,3
Small murders among friends,7.4,38202,5520,1994,14,1,26,379,132,2
Streetfighter - The decisive battle,3.7,44232,6120,1994,0,0,31,1562,268,3
Däumeline,6.3,8168,5160,1994,1,0,33,7,56,3
Tigrero - A movie that was never filmed,6.9,249,4500,1994,1,0,3,0,6,2
Timecop,5.8,36883,5940,1994,1,4,29,178,104,3
True Lies - True Lies,7.2,151050,8460,1994,7,15,46,771,331,2
Yeh Dillagi,6,846,9300,1994,0,0,0,0,9,3
Eat Drink Man Woman,7.8,11654,7440,1994,6,9,14,41,68,3
A Man to Remember,7.1,262,4740,1938,1,0,0,0,12,2
A Personal Journey with Martin Scorsese Through American MoviesTV Movie ,8.6,3044,13500,1995,0,0,15,19,15,1
Ace Ventura - It&#39;s getting wild,6.2,118550,5400,1995,5,4,45,41,168,1
Andolan,5.5,116,9900,1995,0,0,0,0,1,3
Apollo 13,7.6,165930,8400,1995,22,30,73,758,278,3
The Princess and the Cobbler,7.3,2016,4320,1993,0,0,7,8,46,3
A piggy named Babe,6.9,77236,5340,1995,17,17,70,155,172,2
The white balloon,7.7,3486,5100,1995,5,2,4,63,31,2
Balto - A dog with the heart of a hero,7,23059,4680,1995,0,0,42,16,79,3
Harbor in the fog,7.5,4716,5460,1938,4,0,5,31,38,3
Batman Forever,5.4,150233,7260,1995,9,17,64,733,495,3
Rangoon,6.6,3712,6000,1995,2,3,11,4,46,2
Blue in the Face - all blue haze,6.7,6672,4980,1995,0,0,27,15,43,1
The bridges at the River,7.5,43642,8100,1995,8,12,54,167,180,2
Casper,5.9,66230,6000,1995,4,4,47,88,81,3
Tarzan's Revenge,5.1,334,4200,1938,0,0,9,0,10,3
101 Night - The dreams of M. Cinema,6,670,6060,1995,0,0,4,0,5,3
Crossing Guard - It happened on the open road,6.4,8780,6660,1995,0,3,28,26,64,1
Dead Man,7.8,58794,7260,1995,5,6,20,0,309,3
Desperate,7.2,110222,6240,1995,0,0,65,362,192,3
Devil in blue,6.7,10758,6120,1995,5,10,32,78,48,3
Don juan de marco,6.8,35237,5820,1994,3,3,47,36,114,3
Father Langbeen,7.3,8,5340,1938,0,0,0,0,1,2
The first knight,5.8,45159,8040,1995,0,0,66,35,172,3
From the Journals of Jean Seberg,7.1,170,5820,1995,2,1,4,6,6,2
Claudia and the mystery of the EngelsTV Movie,6,169,5520,1995,0,0,4,0,2,3
There Goofy Movie,6.8,26899,4680,1995,0,0,34,19,84,3
Hideaway - The evil,5.3,4515,6360,1995,0,0,34,11,49,3
The rebels,6.4,12547,7620,1995,1,1,16,112,133,3
The powers of madness,7.2,33715,5700,1994,1,3,20,115,211,1
The Indian in the kitchen cupboard,5.9,17179,5760,1995,1,6,20,12,44,3
Jeffrey,6.6,4429,5520,1995,1,4,37,56,51,2
Judge Dredd,5.3,68672,5760,1995,1,5,55,1373,195,3
In the swamp of crime,6.3,16370,6120,1995,0,0,26,167,73,3
Kicking and Screaming,7.1,5717,5760,1995,0,0,18,41,65,3
Ghost in the Shell,8,57016,4980,1995,5,2,36,306,228,3
Leaving Las Vegas - Love to the death,7.6,78362,6660,1995,32,19,55,537,271,2
The dream princess,7.7,19814,5820,1995,4,3,34,81,112,3
The Missing,3.8,5652,6360,1995,1,0,13,59,75,3
The end of all dreams,7.4,1148,6840,1995,10,6,5,0,11,1
The Marx Brothers in the circus,6.9,3571,5220,1939,0,0,16,5,40,2
Memories,7.6,8536,6780,1995,1,0,5,0,27,3
Beloved Aphrodite,7.1,25957,5700,1995,13,8,20,110,83,3
Voice of the heart,8,18811,6660,1995,0,0,5,0,92,3
Mommy,5.2,243,5340,1995,0,0,4,2,14,3
Mortal Kombat,5.8,65703,6060,1995,1,2,68,1149,261,3
Lifelong in Alcatraz,7.3,18324,7320,1995,2,2,24,48,105,2
The network,5.8,40666,6840,1995,0,0,54,44,154,3
Nixon,7.1,21073,11520,1995,11,8,45,7,156,2
Outbreak - Silent Killer,6.5,76265,7620,1995,6,2,44,69,120,3
Pocahontas,6.5,76356,4860,1995,13,5,65,127,198,3
Auto Antics,6,29,600,1939,0,0,0,0,4,3
Powder,6.5,20651,6660,1995,1,1,23,66,147,3
God&#39;s Army - The last battle,6.6,20830,5880,1995,0,0,18,38,191,3
Faster than death,6.4,56873,6420,1995,0,0,52,127,207,3
Sense and sensuality,7.7,61199,8160,1995,34,31,73,423,184,2
